吖	口丫
𩸨	魚宀且
𩼨	魚匕矢龴疋
𩾘	㐅鳥
𩾠	己鳥
𩾢	弋鳥
𪀓	鳥夕夕
𪀕	曳鳥
𪁚	亠口冖鳥
𪁛	彳殳鳥
𪈨	鳥鳥身
𪐔	禾人氺辶中一貝
𪐣	{里}灬子
𪒕	田共{里}灬
𪕶	臼{鼠下}丷一八皿
𪗷	止凵人人一人人匕日
𪘃	止凵人人一人人𠂇月
𪙴	止凵人人一人人𦍌我
㐺	亻亻人
㕂	厂𠆢丶㇇
㖗	口山𠆢丶㇇
㙬	來犬土
㝙	宀王一八
㞤	山人
㡥	巾爫工彐心
㣧	彳幺月乚
㥯	爫工彐心
㥼	忄正㇉一灬
㦩	忄⻖爫工彐心
㧈	扌弓
㧢	扌因
㪦	宀一由八攵
㱃	𠆢丶㇇酉欠
㴈	氵丘山
㶏	氵⻖爫工彐心
㸒	爫壬
㹜	犬犬
㹞	犭斤
㼉	瓜冖儿
㾙	疒㐅𠂇巾
䄄	礻因
䇙	竹弓丨
䌥	糹爫工彐心
䒡	艹弓丨
䓄	艹犭斤
䕃	艹⻖𠆢E𠫔
䖜	虍几虍几曰
䚿	訁欠
䡛	車車
䤃	酉立日
䤺	金石斤
䨸	雨⻖爫工彐心
䪩	立日𠆢丶㇇
䲟	鱼𠀉卩
乑	丿{水}
侌	𠆢丶㇇云
冘	冖儿
凐	冫覀土
印	𠀉卩
吟	口𠆢丶㇇
喑	口立日
噖	口𤣩王𠆢丶㇇
噾	口宀八立日
嚚	口口臣口口
囙	囗コ
因	囗大
圁	囗亠二口
垔	覀土
垠	土艮
垽	氵斤土
堙	土覀土
堷	土立日
夤	夕宀一由八
姻	女因
婣	女𣶒
婬	女爫壬
寅	宀一由八
尹	⺕丿
峾	氵斤山
崟	山金
崯	山金
嶾	山爫工彐心
廕	广⻖𠆢丶㇇云
廴	㇋乀
引	弓丨
愔	忄立日
慇	㐆殳心
慭	来犬心
憖	來犬心
憗	來攵心
懚	忄爫工彐心
斦	斤斤
朄	申柬
栶	木因
檃	⻖爫⺕工木
檭	木金艮
檼	木爫工彐心
櫽	⻖爫工彐心木
殥	歹宀一由八
氤	气因
泿	氵艮
洇	氵因
洕	氵八⺝
淫	氵爫壬
淾	金水
湚	氵儿幺⺝
溵	氵㐆殳
滛	氵爫缶
濥	氵夕宀一由八
濦	氵爫工彐心
烎	开火
犾	犭犬
狺	犭亠二口
猌	來犬
璌	𤣩宀一由八
瘖	疒立日
瘾	疒⻖⺈彐心
癊	疒⻖𠆢丶㇇云
癮	疒⻖爫工彐心
碒	石金
磤	石㐆殳
禋	礻覀土
秵	禾因
筃	竹因
粌	米弓丨
絪	糹因
緸	糹覀土
胤	儿幺⺝
茚	艹𠀉卩
茵	艹因
荫	艹⻖月
荶	艹口𠆢丶㇇
蒑	艹㐆殳
蔩	艹宀一由八
蔭	艹⻖𠆢丶㇇云
蘟	艹⻖爫工彐心
蚓	虫弓丨
螾	虫宀一由八
裀	衤因
訔	山亠二口
訚	门亠二口
訡	訁𠆢丶㇇
誾	門亠二口
諲	訁覀土
讔	訁⻖爫工彐心
赺	土龰𠆢丶㇇
趛	土龰金
輑	車尹口
鄞	廿中王⻏
酳	酉幺⺝
鈏	金弓丨
鈝	金牛
銀	金艮
銦	金因
铟	钅因
银	钅艮
闉	門覀土
阥	⻖水
阴	⻖月
陰	⻖𠆢丶㇇云
陻	⻖覀土
隂	⻖𠆢E𠫔
隐	⻖⺈彐心
隠	⻖爫彐心
隱	⻖爫工彐心
霒	雨云𠆢丶㇇
霠	雨立𠆢丶㇇
霪	雨氵爫壬
靷	革弓丨
鞇	革因
音	立日
韾	士𠃜殳立日
飮	⻞欠
飲	飠欠
饮	饣欠
駰	馬因
骃	马因
鮣	魚𠀉卩
鷣	覀日十鳥
齗	止凵人人一人人斤
齦	止凵人人一人人艮
𠃊	𠃊
𠖟	冖覀示刂
𠽨	口宀立日
𡇂	囗火
𡈲	因因因
𡋪	⺊冂又土
𡐔	土宀一由八
𡓓	𦥑𠆢𦥑土
𡓿	口口口口口口土
𡖣	夕夕囗コ
𡩘	宀立日
𡸛	山𠆢丶㇇欠
𡼽	山飠欠
𢂨	丿几丿几巾
𢉩	广立日
𢋻	广𠆢一口口人人攵
𢌲	山廾
𢓕	彳占
𢓙	彳弓人
𢛦	勿欠心
𢝯	冂亠二口心
𢪪	扌丐
𢳃	扌正㇉一灬
𢷍	扌爫工彐心
𣓆	木爫壬
𣔸	木一丿囗人人
𣦫	止戊{一}𣥂𠀉卩
𣱐	氐覀土
𣱜	气囗㐅
𣸊	氵𠆢丶㇇云
𣽮	氵女爫缶
𤂹	氵⺿覀日十
𤝎	犭水
𤢦	犭爫工彐心
𤯸	生竹⺼力
𤵯	疒匕𫶧
𤷏	疒爫壬
𤻘	疒爫工彐心
𥖵	石爫工彐心
𥤷	宀八冖儿
𥬜	竹勹匕
𥮍	竹爫壬
𦜲	⺼𠆢丶㇇云
𦝴	⺼𠆢E𠫔
𦟘	⺼宀一由八
𦾻	艹爫工彐心
𧊭	虫因
𧥸	訁牛
𧦸	干冂亠二口
𧦹	訁本
𧩬	訁頁
𨈧	身弓丨
𨋙	車申
𨏈	車爫工彐心
𨐐	立丷干⺃
𨒦	辶𠀉卩
𨓮	辶爫壬
𨛊	犭大⻏
𨟏	火火亠囗口⻏
𨟴	酉{匀}
𨡢	𠆢丶㇇酉欠
𨢂	酉儿幺⺝
𨦆	金日匕
𩂥	雨因
𩃬	雨云𠆢丶㇇
𩐞	夕夕立日
𩖄	厂𠆢一口口人人頁
𩬵	E𠫔彡𠀉卩
𪔰	士𠃜殳士口䒑支
𪔽	臼{鼠下}冖儿
𪙤	來犬止凵人人一人人
𪙾	止凵人人一人人虍田皿
𪛊	𠆢一口口口冂卄斤
㑞	亻火廾
㢍	广艹央
㨕	扌乃又皿
㯋	匕木頁
㲟	艹央毛
㴄	氵囗八{囗-一}
㵬	氵月乃又皿
㶈	氵火火冖虫
㼆	𤣩火火冖玉
㿘	疒火火冖口口
䀴	目一巛工
䁐	目艹央
䁝	火火冖目
䃷	石亡口月凡女
䑉	⺼亡口月凡女
䕦	艹亡口月凡女
䙬	衤貝貝女
䣐	艹央⻏
䤝	金丿𠄌卩
䨍	雨井
䪯	火火冖立日
䭊	飠艹央
䭗	飠立日儿
偀	亻艹央
僌	亻車攵
営	𰃮口口
嘤	口贝贝女
噟	广亻亻{隹右}口
嚶	口貝貝女
塋	火火冖土
婴	贝贝女
媖	女艹央
媵	月龹女
嫈	火火冖女
嬰	貝貝女
嬴	亡口月凡女
孆	女貝貝女
孾	子貝貝女
巊	山貝貝女
应	广𭕄一
廮	广貝貝女
影	日亠口小彡
応	广心
愥	忄艹央
應	广亻亻{隹右}心
摬	扌立日儿
撄	扌贝贝女
攍	扌亡口月凡女
攖	扌貝貝女
映	日央
暎	日艹央
朠	月艹央
桜	木⺍女
梬	木由丂
楹	木乃又皿
樱	木贝贝女
櫻	木貝貝女
櫿	木火火冖口口
渶	氵艹央
溁	氵艹冖木
溋	氵乃又皿
滢	氵艹冖玉
潁	匕水頁
潆	氵艹冖糸
濙	氵火火冖火
濚	氵火火冖木
濴	氵火火冖水
瀅	氵火火冖玉
瀛	氵亡口月凡女
瀠	氵火火冖糸
瀯	氵火火冖口口
瀴	氵貝貝女
灐	氵火火冖金
灜	氵亡口月凡貝
煐	火艹央
熒	火火冖火
營	火火冖口口
珱	𤣩⺍女
瑛	𤣩艹央
瑩	火火冖玉
璎	𤣩贝贝女
瓔	𤣩貝貝女
甇	火火冖瓦
甖	貝貝瓦
瘿	疒贝贝女
癭	疒貝貝女
盁	乃皿
盈	乃又皿
矨	矢夭
硬	石更
碤	石艹央
礯	石火火冖糸
禜	火火冖示
穎	匕禾頁
籝	竹亡口月凡女
籯	竹亡口月凡貝
緓	糹艹央
縈	火火冖糸
纓	糹貝貝女
绬	纟艹央
缨	纟贝贝女
罂	贝贝缶
罃	火火冖缶
罌	貝貝缶
耺	耳云
膡	⺼龹目
膺	广亻亻{隹右}⺝
英	艹央
茔	艹冖土
荧	艹冖火
莹	艹冖玉
莺	艹冖鸟
萤	艹冖虫
营	艹冖口口
萦	艹冖糸
萾	艹乃又皿
蓥	艹冖金
藀	艹火火冖火
蘡	艹貝貝女
蛍	𰃮虫
蝇	虫口电
蝧	虫艹央
蝿	虫甲电
螢	火火冖虫
蠅	虫口电
蠳	虫貝貝女
褮	火火冖衣
覮	火火冖見
謍	火火冖亠二口
譍	广亻亻{隹右}亠二口
譻	貝貝亠二口
賏	貝貝
贏	亡口月凡貝
赢	亡口月凡贝
軈	身广亻亻{隹右}心
迎	辶丿𠄌卩
郢	口王⻏
鎣	火火冖金
鐛	金日亠口小
鑍	貝貝金
锳	钅艹央
霙	雨艹央
韺	立日艹央
頴	匕示頁
颍	匕水页
颕	匕示页
颖	匕禾页
鱦	魚口电
鴬	𰃮鳥
鶑	火火鳥
鶧	艹央鳥
鶯	火火冖鳥
鷪	目目冖鳥
鷹	广亻亻{隹右}鳥
鸎	貝貝鳥
鸚	貝貝女鳥
鹦	贝贝女鸟
鹰	广亻亻{隹右}鸟
𠊶	亻{龹}女
𠝟	艹央刂
𠠜	火火冖缶刂
𠮳	上口
𠸄	口艹央
𡀘	口火火冖女
𡁊	口火火宀女
𡂚	口火火冖目
𡃅	口火火冖玉
𡄖	口广亻亻{隹右}心
𡎘	土艹央
𡢘	女口电
𡺡	山乃又皿
𢄋	火火冖巾
𢣙	忄火火冖王
𢥏	忄火火冖口口
𣋋	日口电
𣟤	木匕禾頁
𣤵	貝貝女欠
𣲜	井水
𤁽	氵火火冖目
𤇾	火火冖
𤌌	火火冖井
𤜉	牜貝貝女
𤟣	犭乃又皿
𤣎	犭貝貝女
𤭫	革瓦
𤹜	疒宀口丿口
𤹥	疒士𠃜殳
𥌽	目貝貝女
𥌾	目广亻亻{隹右}心
𥍼	矛艹央
𥏎	矢廴𡈼
𥐑	矢貝貝女
𥚿	示龹女
𦔃	耒艹央
𦖽	火火冖耳
𦝚	⺼乃又皿
𦡺	貝貝⺝
𦢆	貝貝肉
𦦿	貝貝女臼儿
𦩩	舟龹女
𧅋	艹亡口⺼⺄十艮
𧓀	𠆢魚虫
𧕄	虫广亻亻{隹右}心
𧕍	虫火火冖口口
𧢛	目几目几目几
𧭓	訁火火冖火
𧮆	訁貝貝女
𧯀	谷艹央
𨍞	車艹央
𨜏	乃又皿⻏
𨟙	貝貝女⻏
𨠸	酉一巛工
𨪄	土丿冂口金
𨵛	門日月
𩄪	雨一由火
𩋹	革一内火
𩖍	貝貝女頁
𩘑	風艹央
𩳍	鬼一巛工
𩸥	魚火火
𩹅	魚艹央
𩻷	月龹力魚
𪊵	鹿一巛工
哟	口纟勺
唷	口亠厶⺝
喲	口糹勺
育	亠厶⺝
㙲	土亠乡亻{隹右}
㝘	宀亠二口
㞲	山中
㦷	龴用戈
㴩	氵巛口巴
㶲	火用
㷏	禾午火
㽫	亠乡亻{隹右}田
䗤	虫广肀月
䞻	土龰龴用力
佣	亻用
俑	亻龴用
傭	亻广肀月
勇	龴用力
勈	龴用力
咏	口永
喁	口田冂一丶
嗈	口巛口巴
噰	口亠乡亻{隹右}
埇	土龴用
塎	土宀谷
墉	土广肀月
壅	亠乡亻{隹右}土
嫞	女广肀月
嵱	山宀谷
庸	广肀月
廱	广巛口巴亻{隹右}
彮	宀谷彡
怺	忄永
恿	龴用心
悀	忄龴用
惥	𦥑人心
愑	忄龴用力
愹	忄宀谷
慂	氵龴用心
慵	忄广肀月
拥	扌用
擁	扌亠乡亻{隹右}
柡	木工水
栐	木永
永	丶水
泳	氵永
湧	氵龴用力
滽	氵广肀月
澭	氵亠乡亻{隹右}
灉	氵巛口巴亻{隹右}
牅	爿广肀月
牗	片广肀月
用	冂𰀁
甬	龴用
痈	疒用
癕	疒亠乡亻{隹右}
癰	疒巛口巴亻{隹右}
砽	石用
臃	⺼亠乡亻{隹右}
苚	艹用
蒏	艹冖酉
蛹	虫龴用
詠	訁永
踊	𧾷龴用
踴	𧾷龴用力
邕	巛口巴
郺	夕夕巛口巴
鄘	广肀月⻏
醟	火火冖酉
銿	金龴用
鏞	金广肀月
镛	钅广肀月
雍	亠乡亻{隹右}
雝	巛口巴亻{隹右}
顒	田冂一丶頁
颙	田冂一丶页
饔	亠乡亻{隹右}𠆢丶艮
鯒	魚龴用
鰫	魚宀谷
鱅	魚广肀月
鲬	鱼龴用
鳙	鱼广肀月
鷛	广肀月鳥
𠆌	亠口日八白
𠳀	口龴用
𡵜	山牛
𢀍	日亠口小巛口巴
𢢓	忄亠乡亻{隹右}
𢧳	广肀月戈
𣋿	亠夕夕亻{隹右}日
𣏀	木刂
𤛑	牜广肀月
𥁎	用皿
𥑿	石𠂇月
𥥝	宀八用
𥧱	宀八广肀月
𦃽	糹巛口巴
𦤘	亠口日自
𦨤	永舟
𦨬	舟永
𧖇	广巛口巴亻{隹右}虫
𧗴	彳一丁龴用
𧝸	衤亠乡亻{隹右}
𧲤	豸牛
𧴄	豸广肀月
𧴗	豸亠乡亻{隹右}
𧺸	土龰冂口
𧻹	土龰龴用
𨓨	辶⺈用
𨤂	酉火火冖酉
𨴭	門龴用
𨶽	尸古門王
𩆄	雨亠乡亻{隹右}
𩍓	革亠乡亻{隹右}
𩔔	禹頁
𩜳	飠龴用力
𩟀	飠亠乡亻{隹右}
𩟷	巛口巴亻{隹右}𠆢丶艮
𩤛	馬田冂一丶
𩬮	E𠫔彡用
𪄉	巛口巴鳥
𪅟	鳥广肀月
𪇛	广乡亻{隹右}鳥
㒡	亻爫缶丿糸
㓜	幺刀
㕗	𦍌久厶
㕱	口尤
㘥	囗爫缶丿糸
㚭	女尤
㛜	亻丨攵女
㤑	忄𠂇口
㫍	方𠂉亻丨攵
㮋	木𠂇月⻏
㰶	夂卜口欠
㳺	氵扌𠂉子
㹨	犭由
㺠	犭宀八瓜瓜
㻀	𤣩由丿乀
㽕	由乛㇉
㾞	疒酉
䀁	𠂇月皿
䅎	禾禾乃
䆜	宀八𠂇月
䑻	舟方𠂉子
䒴	艹𠂇月
䖻	虫亠厶𫶧
䚃	⺊囗コ見
䛻	訁𠂆十目
䞥	土龰𠂇月
䢊	辶子
䢟	辶方攵
䬀	風幺力
䱂	魚幺力
䳑	𠂇月鳥
丣	{一}口丨
亴	亠口冖土九
优	亻尤
佑	亻𠂇口
侑	亻𠂇月
偤	亻丷酉
優	亻百冖心夂
卣	⺊囗コ
又	㇇乀
友	𠂇又
右	𠂇口
呦	口幺力
哊	口𠂇月
唀	口禾乃
嚘	口百冖心夂
囿	囗𠂇月
姷	女𠂇月
宥	宀𠂇月
尢	𠂇乚
尤	尢丶
峟	山𠂇月
峳	山亻丨攵
幼	幺力
幽	山幺幺
庮	广酉
忧	忄尤
怣	丿夫心
悠	亻丨攵心
憂	百冖心夂
懮	忄百冖心夂
攸	亻丨攵
有	𠂇月
柚	木由
栯	木𠂇月
梄	木酉
楢	木丷酉
櫌	木百冖心夂
櫾	木爫缶丿糸
沋	氵尤
油	氵由
游	氵方𠂉子
湵	氵𦍌久
滺	氵亻丨攵心
瀀	氵百冖心夂
牖	片户甫
犹	犭尤
狖	犭宀八
猶	犭丷酉
猷	丷酉犬
由	日丨
甴	日丨
疣	疒尤
祐	礻𠂇口
禉	礻丷酉
秞	禾由
纋	糹百冖心夂
羑	𦍌久
羪	羊良
耰	耒百冖心夂
聈	耳幺力
肬	⺼尤
苃	艹𠂇又
莜	艹亻丨攵
莠	艹禾乃
莸	艹犭尤
蕕	艹犭丷酉
蚰	虫由
蚴	虫幺力
蜏	虫禾乃
蝣	虫方𠂉子
訧	訁尤
誘	訁禾乃
诱	讠禾乃
貁	豸宀八
輏	車酉
輶	車丷酉
迶	辶𠂇月
逌	辶⺊囗コ
逰	辶扌𠂉子
遊	辶方𠂉子
邮	由⻏
郵	千艹士⻏
鄾	百冖心夂⻏
酉	西一
酭	酉𠂇月
釉	采由
鈾	金由
銪	金𠂇月
铀	钅由
铕	钅𠂇月
駀	馬尤
魷	魚尤
鮋	魚由
鱿	鱼尤
鲉	鱼由
麀	鹿匕
黝	{里}灬幺力
鼬	臼{鼠下}由
𠖋	冖八田
𠘳	⺇山
𠢢	矛木幺力
𠧠	𠃊⺊囗コ
𠧴	𠃊⺊囗人人
𠨦	百冖几去卩
𠮫	丸口
𡇀	囗殳
𡈙	囗鳥
𡈰	囗訁五口
𡈵	囗𤣩⺫一口𧘇
𡊧	土𠂎卩
𡋧	爫冖土
𡜳	女酉
𡯉	尢又
𡯙	尢日
𡺒	山厂亠口𧘇
𡺖	山山幺幺
𢆶	幺幺
𢈓	广𠂇月
𢋣	广百冖心夂
𢓿	彳夂心
𢖟	彳爫缶丿糸
𢟅	亻丨攵彡心
𢪥	手勿
𢿚	又又斤山⺊又
𣁨	百冖扌白文
𣅄	廴日
𣅺	日幺力
𣏞	木尤
𣓐	木氵由
𣓛	木自匕
𣢄	幺欠
𣢜	幺力欠
𣣜	糸力欠
𣣸	𠃊⺊囗人人欠
𣤎	辶⺌⺝欠
𣧗	歹尤
𣧥	歹幺力
𣸠	氵幺歹刂
𣿤	氵占占久
𤄘	氵宀八目目夂
𤍕	木酉火
𤘜	牜尤
𤣙	犭丷百冖正攵
𤤧	𤣩由
𤤬	𤣩幺力
𤪎	𠃊⺊囗人人欠玉
𤱎	田幺力
𤴨	疒又
𤸈	疒丷酉
𥙾	示禾乃
𥜚	示百冖心夂
𥝘	禾夕
𥣯	禾百冖心夂
𥯞	竹方𠂉子
𥴕	竹犭丷酉
𥽟	米百冖心夂
𦎓	羊亠厶𫶧
𦏇	𦍌久𦍌久
𦑸	彳氵攵习习
𦥣	臼尤
𦩲	舟丷酉
𦳧	艹方𠂉子
𦳩	艹囗𠂇月
𦳷	艹丷酉
𦵵	艹𠃊⺊囗人人
𦷿	艹辶⺊囗コ
𦸙	艹千艹士⻏
𧀥	艹百冖心夂
𧅲	艹田木木木木
𧆕	艹田禾禾禾禾
𧆘	艹囗木木木木木木木木木
𧍘	虫山幺幺
𧠶	𠂇月見
𧡹	𠃊⺊囗人人見
𧰰	豕尤
𨑫	辶尤
𨗰	辶⺊囗コ糸
𨘁	辶幺方糸
𨘵	辶⺊囗口見
𨙂	辶爫缶丿糸
𨛕	⺊囗コ⻏
𨡴	酉丷酉
𨸙	⻖⻏
𩑣	尤頁
𩗚	風亻丨攵
𩘈	風山幺幺
𩘓	風方𠂉子
𩤹	馬禾日
𩥘	馬山亻丨攵
𩲎	鬼少
𩴑	鬼厶厶厶𠆢彡
𩴙	鬼氵⺳木
𩹊	魚方𠂉子
𩽇	魚百冖心夂
𩿬	由鳥
㑨	亻口矢
㒁	亻囗土丷干
㒜	亻𦥑㇉一丨一八
㔱	匚𦥑人
㙑	禹土
㚥	女于
㝢	宀禹
㝼	尢于
㠘	山𦥑㇉一丨一八
㠨	山木木乂乂⺫艮寸
㡰	广于
㣃	弓亠厶⺝弓
㤤	忄由丿乀
㥔	忄亠厶⺝
㥚	忄𦥑人
㥥	忄田冂一丶
㦛	𦥑㇉一丨一八心
㪀	于攵
㬂	日田冂一丶
㬰	由人
㲾	宀水
㳚	氵戊丶
㳛	氵𦥑人
㶛	氵方𠂉𦥑㇉一丨一八
㷒	火田冂一丶
㺄	犭𠆢一月刂
㺞	犭𦥑㇉一丨一八
㺮	𤣩一丂
㼌	瓜瓜
㼶	𠆢一月刂瓦
㽣	田戈口{一}
䁌	目田⺝
䁩	目魚
䂊	矛{⺈丿口}𧰨
䂛	石予
䃋	石𠆢一月刂
䄨	禾于
䈅	竹戈口{一}
䉛	竹丿冂釆大
䋖	糹聿
䍂	缶于
䍞	冂乂乂戈口{一}
䏸	⺼五口
䐳	⺼魚
䔡	艹魚
䖇	艹木木缶冖凵㐅丶丶丶丶匕彡
䗨	虫魚
䘘	彳一丁龶糸
䘱	衣谷
䙔	衤匚口口口
䛕	訁由丿乀
䜽	豆𠆢一月刂
䢓	辶宀于
䢖	辶聿
䢩	辶五口攵
䣁	习习⻏
䥏	金彳𦈢卩
䨒	雨习习
䨞	雨禹
䩒	革于
䬄	風戊{一}
䮇	馬聿
䮙	馬戈口{一}
䰻	魚攵
䱷	虍魚攵
䲣	虍鱼攵
䴁	宀田冂一丶鳥
䵫	宀夕㔾{里}灬
与	㇉一一
乻	方𠆢⺀乙
予	龴乛亅
于	一十
亐	一一㇉
伃	亻予
伛	亻区
余	𠆢一朩
俁	亻口{𠃑大}
俣	亻口天
俼	亻亠厶⺝
偊	亻禹
傴	亻匚口口口
儥	亻士⺫貝
匬	匚𠆢一月刂
唹	口方𠆢⺀
喅	口日立
喩	口𠆢一⺝巜
喻	口𠆢一月刂
噳	口虍口{𠃑大}
圄	囗五口
圉	囗土丷干
圫	土丿七
域	土戈口{一}
堉	土亠厶⺝
堣	土田冂一丶
堬	土𠆢一月刂
妤	女予
妪	女区
娛	女口{𠃑大}
娯	女口𠃑一八
娱	女口天
媀	女田冂一丶
嫗	女匚口口口
嬩	女𦥑㇉一丨一八
宇	宀于
寓	宀田冂一丶
寙	宀瓜瓜
屿	山与
峪	山谷
崳	山𠆢一月刂
嵎	山田冂一丶
嵛	山𠆢一月刂
嶎	山尸示寸
嶼	山𦥑㇉一丨一八
庽	广田冂一丶
庾	广𦥑人
彧	𢦑口{一}
御	彳𦈢卩
愈	𠆢一月刂心
愚	田冂一丶心
慾	谷欠心
懙	忄𦥑㇉一丨一八
戫	𠂇月戈口{一}
扵	扌𠆢⺀
挧	扌习习
揄	扌𠆢一月刂
敔	五口攵
斔	文虫𦥑人
斞	𦥑人斗
旟	方𠂉𦥑㇉一丨一八
昱	日立
棛	木亠厶⺝
棜	木方𠆢⺀
棫	木戈口{一}
楀	木禹
楡	木𠆢一⺝巜
楰	木𦥑人
榆	木𠆢一月刂
櫲	木予{⺈丿口}𧰨
欎	木木乂乂冖艮寸
欝	木木乂乂⺫艮寸
欤	与欠
欲	谷欠
歈	𠆢一月刂欠
歟	𦥑㇉一丨一八欠
歶	止匕田冂一丶
毓	𠂉母亠厶𫶧
浴	氵谷
淤	氵方𠆢⺀
淯	氵亠厶⺝
渔	氵鱼
渝	氵𠆢一月刂
湡	氵田冂一丶
滪	氵予页
漁	氵魚
潏	氵矛冂八口
澞	氵虍口{𠃑大}
澦	氵予頁
灪	氵木木缶冖凵㐅丶丶丶丶匕彡
灹	火丿七
焴	火亠厶⺝
煜	火日立
熨	尸示寸火
燏	火矛冂八口
燠	火丿冂釆大
爩	火木木缶冖凵㐅丶丶丶丶匕彡
牏	片𠆢一月刂
狱	犭讠犬
狳	犭𠆢一朩
獄	犭亠二口犬
玉	王丶
玗	𤣩于
玙	𤣩与
琙	𤣩戈口{一}
瑀	𤣩禹
瑜	𤣩𠆢一月刂
璵	𤣩𦥑㇉一丨一八
瘀	疒方𠆢⺀
瘉	疒𠆢一月刂
瘐	疒𦥑人
癒	疒𠆢一月刂心
盂	于皿
盓	氵于皿
睮	目𠆢一月刂
砡	石玉
硢	石𠆢一朩
硲	石谷
礇	石丿冂釆大
礖	石𦥑㇉一丨一八
礜	𦥑㇉一丨一八石
祤	礻习习
禦	彳𦈢卩示
禹	丿中冂一丶
秗	禾夭
稢	禾戈口{一}
稶	禾𢦑口{一}
穥	禾𦥑㇉一丨一八
穻	宀八于
窬	宀八𠆢一月刂
窳	宀八瓜瓜
竽	竹于
箊	竹方𠆢⺀
篽	竹彳𦈢卩
籅	竹𦥑㇉一丨一八
籞	竹彳𦈢卩示
籲	竹𠆢一口口口冂卄頁
粖	米末
粥	弓弓米
紆	糹于
緎	糹戈口{一}
纡	纟于
罭	罒戈口{一}
羭	羊𠆢一月刂
羽	习习
聿	肀干
肀	⺕丨
腴	⺼𦥑人
臾	𦥑人
舁	臼廾
舆	𦥑车一八
與	𦥑㇉一丨一八
艅	舟𠆢一朩
艈	舟亠厶𫶧
芋	艹于
芌	艹一丂
茟	艹聿
茰	艹由丿乀
萭	艹禹
萮	艹𠆢一月刂
萸	艹𦥑人
蒮	艹冖亻{隹右}
蓣	艹予页
蓹	艹彳𦈢卩
蕍	艹氵𠆢一月刂
蕷	艹予頁
薁	艹丿冂釆大
蘌	艹彳𦈢卩示
蘛	艹卄二匸八亠厶⺝
虞	虍口{𠃑大}
虶	虫于
蜟	虫亠厶⺝
蜮	虫戈口{一}
蝓	虫𠆢一月刂
螸	谷欠虫
衧	衤于
袬	衣厶口
裕	衤谷
褕	衤𠆢一月刂
覦	𠆢一月刂見
觎	𠆢一月刂见
誉	𭕄一八亠二口
語	訁五口
諛	訁𦥑人
諭	訁𠆢一月刂
謣	訁雨一丂
譽	𦥑㇉一丨一八亠二口
语	讠五口
谀	讠𦥑人
谕	讠𠆢一月刂
豫	予{⺈丿口}𧰨
貐	豸𠆢一月刂
踰	𧾷𠆢一月刂
軉	身宀𤣩缶貝
輍	車谷
輿	𦥑車一八
轝	𦥑㇉一丨一八車
込	辶入
迂	辶于
迃	辶一丂
逳	辶亠厶⺝
逾	辶𠆢一月刂
遇	辶田冂一丶
遹	辶矛冂八口
邘	于⻏
郁	𠂇月⻏
鄅	禹⻏
酑	酉于
醧	酉匚口口口
鈺	金玉
鋊	金谷
錥	金亠厶⺝
鍝	金田冂一丶
鐭	金丿冂釆大
钰	钅玉
閾	門戈口{一}
阈	门戈口{一}
陓	⻖大一丂
隅	⻖田冂一丶
雓	𠆢一朩亻{隹右}
雨	一冂丨丶丶丶丶
雩	雨一丂
霱	雨矛冂八口
預	予頁
頨	习习頁
预	予页
飫	飠夭
餘	飠𠆢一朩
饇	飠匚口口口
饫	饣夭
馀	饣𠆢一朩
馭	馬又
騟	馬𠆢一月刂
驈	馬矛冂八口
驭	马又
骬	冎⺼于
髃	冎⺼田冂一丶
鬰	木木乂乂冖凵㐅丶丶丶丶匕彡
鬱	木木缶冖凵㐅丶丶丶丶匕彡
鬻	弓弓米鬲
魊	鬼戈口{一}
魚	⺈田灬
魣	魚予
鮽	魚𠆢一朩
鯲	魚方𠆢⺀
鰅	魚田冂一丶
鱊	魚矛冂八口
鱼	⺈田一
鳿	𤣩鳥
鴥	鳥宀八
鴧	宀几鳥
鴪	宀八鳥
鵒	谷鳥
鷠	魚鳥
鷸	矛冂八口鳥
鸆	虍口{𠃑大}鳥
鸒	𦥑㇉一丨一八鳥
鹆	谷鸟
鹬	矛冂八口鸟
麌	鹿口{𠃑大}
齬	止凵人人一人人五口
齵	止凵人人一人人田冂一丶
龉	止凵人五口
龥	𠆢一口口口冂卄頁
𠀛	一一内
𠋟	亻𦥑人
𠎳	𠆢一朩𠆢一朩
𠏚	亻𠆢一月刂心
𠕦	⺜𠆢一月刂
𠧇	⺊日十臼廾
𠫣	厶内
𠱐	口口𠃑一八
𠸹	口𢦑口{一}
𠽵	口夕㔾一口䒑
𡁎	口𦥑㇉一丨一八
𡂊	口𠆢水水水
𡇺	囗允灬
𡈨	囗口口口口
𡋬	㇉一灬土
𡑾	土虍口{𠃑大}
𡒊	𦥑㇉一丨一八土
𡔴	士冖公⺝
𡨣	宀牜⺊又
𡨿	宀丿冂㐅火
𡬊	宀爿艹⺫冖夭
𡬞	⺄⺄⺄寸
𡷎	山宀于
𡻢	山囗土丷干
𡿥	山木木缶冖凵㐅丶丶丶丶匕彡
𡿯	曰巛
𢊧	广魚
𢋅	广𠆢一月刂欠
𢌻	土八廾
𢎻	弓予
𢒰	𠂇月𢦑口{一}
𢔢	彳𠆢一月刂
𢔥	彳田⺝
𢔬	彳一丁⺧儿
𢔴	彳五口⻏
𢖡	彳一丁去幺幺廾
𢛨	忄方𠆢⺀
𢡎	忄辶田冂一丶
𢮁	扌方𠆢⺀
