a	a art.一;字母A
pusillanimity	pusillanimity n.无气力;胆怯
pusillanimous	pusillanimous a.无气力的;胆怯的;优柔寡断的
puss	puss n.猫;小姑娘;少女
pussy	pussy n.猫;小姑娘 a.多脓的
pussycat	pussycat n.猫;有毛的柔软东西
pussyfoot	pussyfoot vi.偷偷走路;消极行事;不表态 n.骑墙者;禁酒
pustular	pustular a.脓疱的;有小脓疱的
pustulation	pustulation n.生脓疱
pustule	pustule n.脓疱
put	put vt.放;摆;安置;移动;使穿进;发射;投掷;使处于;写上;提出;表 达;翻译;使从事;使受 vi.出发;航行;发芽;击高尔夫球 n.掷;卖方的选择;轻轻一击(入洞);笨蛋;怪人 a.固定不动的 vbl.put的过去式和过去分词
putative	putative a.想象的;推定的;传说的;被公认的
pute	pute a.单纯的
putrefaction	putrefaction n.腐败;腐败物
putrefactive	putrefactive a.腐败的;易腐败的;使腐败的
putrefied	putrefied adj.腐烂
putrefy	putrefy vt.vi.(使)化脓;(使)腐烂;(使)堕落
putrescence	putrescence n.腐败
putrescent	putrescent a.将腐烂的;腐败的
putrid	putrid a.腐败的
putridity	putridity n.腐败
putt	putt vt.击球入洞 vi.击高尔夫球 n.轻轻一击(入洞)
puttee	puttee n.布绑腿;皮绑腿
putter	putter n.置放者;推车工;轻击棒 vi.无精打采地工作;漫步;骚动;闲荡 vt.浪费
putter away	putter away v.浪费;消磨
putty	putty n.油灰;玻璃;金属等的磨粉 vt.用油灰接合
putty up	putty up v.用油灰接合
puzzle	puzzle n.难题;迷惑 vt.使困惑;使为难;苦思而得 vi.迷惑;苦思
puzzled	puzzled v.困惑;vbl.困惑
puzzlement	puzzlement n.迷惑
puzzler	puzzler n.使困惑的人;难题
puzzling	puzzling a.使迷惑的;使莫明其妙的
pvc	pvc n.聚氯乙烯
pygmean	pygmean a.矮人的;侏儒的;极小的
pygmy	pygmy n.矮人;侏儒;小妖精 a.微小的;矮人的
pyjamas	pyjamas n.睡衣;宽长裤
pylon	pylon n.塔门;路标塔
pyloric	pyloric a.幽门的
pylorus	pylorus n.幽门;幽门部
pyramid	pyramid n.角锥;金字塔 vt.vi.(使)成金字塔状;(使)渐增;(使)上涨
pyramidal	pyramidal a.金字塔形的;角锥状的;锥体的 n.锥骨
pyramiding	pyramiding n.叠罗汉
pyre	pyre n.火葬用的柴堆
Pyrenean	Pyrenean a.法国和西班牙国境的山脉
pyretic	pyretic a.发热的;热病的;治疗热病的 n.解热剂
Pyrex	Pyrex n.耐热玻璃;其商标名
pyrheliometer	pyrheliometer n.太阳热力计;日温计
pyrimidine	pyrimidine n.嘧啶
pyrite	pyrite n.黄铁矿
pyrites	pyrites n.硫化铁矿
pyritic	pyritic a.硫化铁矿的
pyroelectricity	pyroelectricity n.焦热电
pyrolysis	pyrolysis n.高温分解
pyromania	pyromania n.放火癖;放火狂
pyromaniac	pyromaniac n.放火狂 a.放火狂的
pyrometer	pyrometer n.高温计
pyrosis	pyrosis n.心口灼热;胃灼热
pyrotechnics	pyrotechnics n.烟火制造术;烟火使用
pyrrhic	pyrrhic n.出征舞;抑抑格 a.出征舞的;抑抑格的
Pythagoras	Pythagoras n.毕达哥拉斯
Pythagorean	Pythagorean a.毕达哥拉斯的
python	python n.大蟒;巨蟒
pyx	pyx n.圣体容器;货币检查箱 vt.放入货币检查箱检查
pyxidium	pyxidium n.盖果
Pyxis	Pyxis n.有盖瓶;小瓶
q	q n.字母q
qa	qa n.质量保证;问题和回答
qbasic	qbasic n.Qbasic语言
qedit	qedit n.由SemWare公司推出的英文编辑软件
qtam	qtam n.排队;远程处理
qua	qua prep.作为
quack	quack n.鸭叫声;庸医;冒充内行之人 a.庸医的 vt.vi.嘎嘎叫;当庸医;夸大广告
quackery	quackery n.骗人的治疗;大吹牛;骗子的行为
quacksalver	quacksalver n.密医;庸医;骗子
quad	quad n.线组
quadrangle	quadrangle n.四角形;四边形;中院
quadrangular	quadrangular a.四边形的
quadrant	quadrant n.四分圆;象限;四分仪
quadrantal	quadrantal a.四分圆的;象限的
quadrat	quadrat n.嵌块
quadrate	quadrate a.正方形的;方形的 n.正方形;方形骨 vt.使适合;使一致
quadratic	quadratic a.二次的 n.二次方程式;二次方程式论
quadrature	quadrature n.求面积;矩;弦
quadric	quadric a.二次的 n.二次曲面
quadriceps	quadriceps n.四头肌
quadrilateral	quadrilateral a.四边形;四边地;四角地
quadrille	quadrille n.四人用四十张纸牌玩的牌戏;四对舞;四对舞曲
quadrinomial	quadrinomial a.四项的 n.四项式
quadripartite	quadripartite a.分成四组的;由四部组成的
quadripuntal	quadripuntal n.四孔
quadrivium	quadrivium n.四门学科
quadroon	quadroon n.白人与半白人之混血儿;四分之一的混血儿
quadruped	quadruped n.四足动物
quadruple	quadruple a.四倍的;四重的;四部组成的 n.四倍数 vt.使成四倍 vi.成为四倍
quadruplet	quadruplet n.四组;四套;四胞胎中之一
quadruplex	quadruplex n.四工
quadruplication	quadruplication n.一式四份
quadrupole	quadrupole n.四极
quaff	quaff vt.vi.一口气喝干;大口地喝 n.一饮而尽;痛饮
quag	quag n.沼地;湿地
quagga	quagga n.斑驴
quaggy	quaggy a.沼地的;湿地的
quail	quail n.鹌鹑 vi.胆怯;畏缩
quaint	quaint a.古雅的;离奇有趣的;奇怪的
quake	quake n.地震
Quaker	Quaker n.教友派信徒
quaky	quaky a.震动的;战栗的
qualification	qualification n.资格;条件;限制
qualifications	qualifications n.资格
qualified	qualified a.有资格的
qualifier	qualifier n.给与资格的人;限定物;限定句
qualify	qualify vi.取得资格;有资格 vt.使有资格;使合格;限定;限制;准予
qualitative	qualitative a.性质上的;质的;定性的
quality	quality n.品质;特质;才能;质量 a.优质的 n.品质
qualm	qualm n.晕眩;不安;疑虑
qualmish	qualmish a.使人恶心;不安的;受良心责备的
quandary	quandary n.困惑;迷惑;为难
quant	quant n.船桨
quanta	quanta n.pl.量子
quantic	quantic n.同次整关数;多项式
quantify	quantify vt.定量;表示份量;称量
quantitative	quantitative a.数量的;定量的
quantity	quantity n.量;数量;总数
quantivalence	quantivalence n.原子价
quantization	quantization n.量子化;量化
quantise	quantise n.数值化;数字转换
quantize	quantize n.数值化;数字转换
quantum	quantum n.分配量;额;量;量子
quarantine	quarantine n.隔离;封锁交通;检疫期间 vt.检疫;停止交涉
quarrel	quarrel n.吵架;反目;怨言;方形的东西 vi.吵架;争论;挑剔
quarrel with one's own shadow	quarrel with one's own shadow v.无事生气
quarrelsome	quarrelsome a.喜欢吵架的;好争论的;怒气冲冲的
quarry	quarry n.采石场;猎物;追求物;出处 vt.挖出;苦心找出 vi.费力地找
quart	quart n.夸脱
quartan	quartan a.每四天的 n.四日热
quartation	quartation n.四分法
quarter	quarter n.四分之一;一刻钟;季度;地区 vt.四等分;四肢分解 vi.驻扎;住宿
quarterback	quarterback n.四分卫 vi.担任四分卫
quarterfinal	quarterfinal a.四分之一决赛的 n.四分之一决赛
quarterfinalist	quarterfinalist n.四分之一决赛选手
quartermaster	quartermaster n.军需官
quarters	quarters n.住处;岗位
quartersaw	quartersaw vt.把原木锯成四块
quartet	quartet n.四重奏
quartic	quartic a.四次的 n.四次式
quartile	quartile n.四分位数
quarto	quarto n.四开;四开大的书本
quartz	quartz n.石英
quartzite	quartzite n.石英岩;矽岩
quasar	quasar n.恒星状球体;半星球体;类星球体
quash	quash vt.撤消;镇定;镇压
quasi	quasi a.类似的;外表的
quassia	quassia n.苦木科植物;由其采取之苦味液
quaternion	quaternion n.四个一组;四人一组;四元数
quaternity	quaternity n.四个一组;四人一组;四位一体
quatrain	quatrain n.四行诗
quatre	quatre n.四红;四点
quatrefoil	quatrefoil n.四瓣花;四叶片之叶;四叶饰
quaver	quaver vi.发颤音;震动 vt.颤声说话;用颤声歌唱 n.震音;颤声;八分音符
quavery	quavery a.震音的;颤声的
quay	quay n.码头;突堤;岸壁
quayage	quayage n.码头税;系船费;码头用地
quayside	quayside n.码头周围
quean	quean n.轻佻的女人
queasily	queasily ad.令人恶心地
queasiness	queasiness n.恶心
queasy	queasy a.催吐的;动荡的;使人呕吐的;反胃的
quebracho	quebracho n.南美产漆树科乔木;其木材和树皮
queen	queen n.皇后;女王;王妃 vt.立为女王 vi.做女王
queening	queening n.苹果之一种
queenliness	queenliness n.象女王;适合当女王
queenly	queenly a.女王的
queer	queer n.同性恋者 a.奇怪的;不舒服的;可疑的 vt.搞糟
queer street	queer street n.困境
queerly	queerly ad.奇妙地;奇怪地
queerness	queerness n.奇妙;不快
quell	quell vt.压制;平息;减轻
quench	quench vt.熄灭;结束;冷浸;淬火 vi.熄灭;平息
quencher	quencher n.弄熄的人;冷却器;饮料
quenching	quenching n.淬熄
quenchless	quenchless a.难熄灭的;难镇静的;难压制的
quercetin	quercetin n.橡黄素
querimonious	querimonious a.易发牢骚的
querist	querist n.询问者;质问者
quern	quern n.手推磨
querulous	querulous a.鸣不平的;发牢骚的;易怒的
query	query n.疑问;疑问号;质问 vt.vi.询问;质问 n.查询
quest	quest n.探索;寻求;调查 vt.vi.寻找;找;追寻猎物
quest for	quest for v.追求;探索
question	question n.问题;疑问;疑问句 vt.vi.询问;审问;怀疑 n.询问
question-master	question-master n.发问者;主持人
questionable	questionable a.可疑的
questioner	questioner n.质问者;发问者
questioning	questioning ing.质疑
questionless	questionless a.无疑的
questionnaire	questionnaire n.调查表;问卷;调查表
queue	queue n.辫子;长队 vt.梳成辫子 vi.排队 n.队列
queue up	queue up v.排队等候
queuing	queuing n.等候理论;排队
quibble	quibble n.遁辞;谬论;双关话 vi.推托;诡辩;说模棱两可的话;说俏皮话 vt.对...诡辩
quibbling	quibbling n.诡辞
quibinary	quibinary n.二码
quiche	quiche n.火腿起司蛋卷
quick	quick a.快的;迅速的;敏捷的;灵敏的;活泼的;急剧的 ad.快 n.活肉;要点;本质;核心;感觉敏锐的部位
quicken	quicken vt.加快;刺激;使有生气;鼓舞;使复活 vi.加快;变活跃
quickening	quickening a.使活的;使复生的;使活泼的 n.胎动
quicker	quicker adj.快些
quickest	quickest adj.最快的
quickie	quickie n.匆匆做成的事 a.简短的;迅速的
quicklime	quicklime n.生石灰
quickly	quickly ad.很快地;快的
quickness	quickness n.急速;迅速;速度
quicksand	quicksand n.流沙;流沙地;危险状态
quickset	quickset n.树或插枝;树篱 a.树篱
quicksilver	quicksilver n.水银;汞 vt.涂上水银 a.水银似的;易变的
quickstep	quickstep n.快步;快步进行曲;急拍的狐步
quid	quid n.一磅金币;一磅;咀嚼物
quiddity	quiddity n.本质;实质;诡辩;怪癖;遁辞
quidnunc	quidnunc n.喜欢探听的人;爱说长道短的人
quiescence	quiescence n.静止;不活动;寂静
quiescent	quiescent a.静止的;不活动的;寂静的
quiet	quiet n.安静;闲适;平静 a.安静的;静止的;宁静的;寂静的;朴素的;从容的;僻静的; 暗中的 vi.平静下来 vt.使平静;使平息;使安心;安慰
quiet title	quiet title n.判决产权归属
quieter	quieter adj.更安静的
quieting	quieting n.静寂
quietism	quietism n.寂静主义;精神的平静
quietist	quietist n.寂静主义者
quietly	quietly ad.安静地;沉着地;稳地
quietness	quietness n.平静;寂静
quietude	quietude n.平静;寂静
quietus	quietus n.最后的解除;偿清;生命的终止
quill	quill n.羽茎;大翎毛;鹅毛笔 vt.刺穿
quilling	quilling n.做成羽状襞褶;用羽状襞褶装饰的缎带
quilt	quilt n.棉被 vt.制成棉被;摘录 vi.缝被子
quince	quince n.植物的一种
quincunx	quincunx n.五点形;梅花形;五点形排法
quinidine	quinidine n.奎尼定;奎尼丁
quinine	quinine n.奎宁
quinoline	quinoline n.奎林
quinquina	quinquina n.奎纳皮;奎纳树
quinsy	quinsy n.扁桃腺炎
quint	quint n.五度音;五胞胎;男子篮球队
quintain	quintain n.枪靶;刺枪靶
quintan	quintan n.五日热 a.每五天发作的
quintar	quintar n.阿辅币
quintessence	quintessence n.精萃;精华(物体)最纯粹的形体;典型
quintessential	quintessential a.精萃的;精髓的;典型的
quintillion	quintillion n.百万的三次方;百万的五次方
quintuple	quintuple a.五倍的;五重的;五部分构成的 n.五倍量;五个一组 vt.使成五倍
quintuplet	quintuplet n.五个一组;五人一组;五胞胎中之一
quintuplicate	quintuplicate a.五倍的;五层的;五重的 n.一组五个中之一;五份复写文件之一 vt.制五份复印本
quip	quip n.警句;名言;讽刺 vt.vi.说讽刺的话;嘲弄;说托辞
quirk	quirk n.双关语;俏皮话;警句
quiron clinic	quiron clinic n.奎隆诊所
quirt	quirt n.皮条编制马鞭
quisling	quisling n.卖国贼
quit	quit vi.离开;辞职;停止 vt.离开;放弃;解除;表现;停止 n.退出
quitch	quitch n.茅草类植物
quitclaim	quitclaim n.放弃权利 vt.放弃合法权利
quite	quite ad.相当;完全;十分
quitrent	quitrent n.免役税
quits	quits a.抵消的;对等的
quittance	quittance n.免除;解除;赦免;赔偿;报复
quitter	quitter n.轻易停止的人;懒人;无志气的人
quiver	quiver n.震动;颤抖;箭袋;大群 vi.颤抖;振动;射中 vt.使颤动 a.敏捷的
quiver with	quiver with v.颤动
quiverful	quiverful n.箭筒装满;多数;许多
quivery	quivery a.颤抖的;震动的
Quixote	Quixote n.堂吉可德
quiz	quiz n.小考;随堂测验;恶作剧 vt.嘲弄;简单测验;恶作剧
quizzable	quizzable a.可挖苦的
quizzer	quizzer n.质问者;测验节目;嘲笑者
quizzical	quizzical a.古怪的
quod	quod n.监狱;牢狱 vt.关押;下狱
quodlibet	quodlibet n.神学上的论争;杂乱的混成曲
quoin	quoin n.外角;榫子 vt.夹紧
quoit	quoit n.圈环;掷圈环 vt.掷(圈环)
quondam	quondam a.原来的;以前的
quorum	quorum n.法定人数;选出的团体
quota	quota n.配额;限额
quotable	quotable a.可引用的;有引用价值的;适于引用的
quotation	quotation n.引用语;价格;报价单
quotation mark	quotation mark n.引号
quote	quote n.引用 vt.引述;举证;报价 vi.引用
quote out of context	quote out of context v.断章取义
quoteworthy	quoteworthy a.值得引用的
quotha	quotha int.确实!;真的!
quotidian	quotidian a.每日的;每日发作的;司空见惯的;平凡的 n.每日热
quotient	quotient n.商;份额
quoting	quoting vbl.引用;引述
qurush	qurush n.沙乌地阿拉伯的货币单位
rabbet	rabbet n.槽口;榫头;槽口接缝处 vt.开槽口接合;嵌接 vi.槽口接合
rabbi	rabbi n.犹太的法学博士;法师;先生
rabbinism	rabbinism n.犹太的法学博士的教导;犹太的法学博士的语风
rabbit	rabbit n.兔子 vi.猎兔 vt.该死
rabbit-hole	rabbit-hole n.兔子窝
rabble	rabble n.乌合之众;起哄的群众;下层社会;拨火棍 vt.聚众闹事;用拨火棍搅动
rabble-rouser	rabble-rouser n.群众煽动者
rabic	rabic a.狂犬病的
rabid	rabid a.猛烈的;热烈的;急进的;狂怒的;固执的;疯狂的
rabidity	rabidity n.猛烈;热烈;急进;狂怒
rabies	rabies n.狂犬病;恐水病
raccoon	raccoon n.浣熊;其毛皮
race	race n.种族;人种;赛跑;比赛;急流;姜根 vi.赛跑;竞赛;疾走 vt.与...赛跑;使疾走;使空转
raceabout	raceabout n.竞赛用游艇
raceball	raceball n.赛马时举行的跳舞会
racehorse	racehorse n.赛马
raceme	raceme n.总状花序
racemose	racemose a.总状花序的;总状排列的;葡萄状的
racer	racer n.比赛者;一种黑蛇
racetrack	racetrack n.跑道
raceway	raceway n.水沟;屋内配管
rachitic	rachitic a.佝偻病的
rachitis	rachitis n.佝偻病;脊柱炎
racial	racial a.人种的;种族的
racialism	racialism n.种族主义;人种偏见
racially	racially ad.按人种;人种上
racily	racily ad.保持原味地;津津有味地;爽快地;痛快地;生动地
raciness	raciness n.痛快;爽快;风味好
racing	racing n.赛马的嗜好;赛车的嗜好;赛马;赛车;空转
racism	racism n.种族主义;人种偏见
racist	racist n.种族主义者
rack	rack n.架;行李架;饲草架;搁物架;拷问台;痛苦;破坏;齿条;行云; 小步跑;烧酒 vt.放在架上;在架上制作;折磨;使痛苦;压榨;榨取;扭伤;加 以拷问 vi.在饲草架装满干草;变形;倾斜;(云)随风飘;(马)小步跑
rack up	rack up v.获胜;击倒
racket	racket n.球拍;喧闹;杂乱无章 vi.喧闹 vt.用球拍打
racket about	racket about v.过放荡的生活
racketeer	racketeer n.敲诈者;获取不正当钱财的人 vt.vi.诈骗钱财
rackety	rackety a.喧扰的;喧闹的;喜欢吵闹的
racoon	racoon n.浣熊
racquet	racquet n.球拍;拍球戏之一种;球拍型雪鞋
racy	racy a.保持原味的;活泼的;生动的;适于赛跑的
racy of the soil	racy of the soil a.具有原来特征的;活泼的;刺激的
radar	radar n.雷达;电波探测器
radarscope	radarscope n.电波映像镜;雷达示波器
raddle	raddle n.红赭石 vt.涂赭色;涂胭脂色;把...交织;编
raddled	raddled a.浓妆的;昏乱的;坏掉的;衰弱的
radial	radial a.光线的;光线状的;放射状的;半径的;径向的 n.光线;射线
radialised	radialised a.辐射状的;放射的
radialized	radialized a.辐射状的;放射的
radian	radian n.弧度
radiance	radiance n.光辉;闪烁;容光焕发
radiant	radiant a.发光的;明亮的;辐射的;容光焕发的
radiate	radiate vt.放射;散发;辐射;传播;广播 vi.发光;辐射;流露 a.有射线的;辐射状的
radiation	radiation n.放射线
radiative	radiative a.发光的;放热的;放射的
radiator	radiator n.暖气炉;冷却器;辐射体
radical	radical n.激进分子;语根;基础 a.激进的;根本的;基本的;根的
radicalism	radicalism n.激进主义
radicalise	radicalise vt.使激进
radicalize	radicalize vt.使激进
radically	radically ad.根本地;完全地
radicand	radicand n.被开方数
radicate	radicate vt.使生根;确立
radii	radii n.pl.半径
radio	radio n.无线电;收音机;无线电报;无线电广播;无线电台 vt.vi.用无线电发送
radioactive	radioactive a.放射性的;有放射能的
radioactivity	radioactivity n.放射能
radiobiology	radiobiology n.放射性生物学
radiobroadcast	radiobroadcast vt.无线电广播 n.无线电广播
radiocarbon	radiocarbon n.放射性炭素;炭素的放射性同位元素
radiochemistry	radiochemistry n.放射能化学
radioelement	radioelement n.放射性元素
radiogenic	radiogenic a.由放射能产生的;适于无线电广播的
radiogramophone	radiogramophone n.收音电唱机
radiograph	radiograph n.X光照片;放射线照片 vt.拍X光线照片
radiographer	radiographer n.放射线技师
radiographic	radiographic a.X光线照相术的
radiography	radiography n.X光线照相术;放射线照相术
radioisotope	radioisotope n.放射性同位元素
radiological	radiological a.放射线学的
radiologist	radiologist n.放射线学者
radiology	radiology n.X光线学;放射线学;X光线科
radiometallography	radiometallography n.放射金属结构学
radiometer	radiometer n.辐射计;放射计
radiometry	radiometry n.辐射线测定
radiopaque	radiopaque a.辐射透不过的
radiophone	radiophone n.无线电话;光线电话机
radioscopy	radioscopy n.放射线透视;X光透视
radiosensitive	radiosensitive a.对放射线敏感的
radiotelegraphic	radiotelegraphic a.无线电报的;用无线电报的
radiotelegraphy	radiotelegraphy n.无线电报
radiotelephone	radiotelephone n.无线电话 vt.vi.打无线电话
radiotelephony	radiotelephony n.无线电话
radiotherapist	radiotherapist n.放射线治疗医师
radiotherapy	radiotherapy n.放射线疗法
radiovision	radiovision n.无线电视
radish	radish n.小萝卜
radium	radium n.镭
radius	radius n.半径;范围;辐射光线
radix	radix n.基;根;基数;根源
radome	radome n.天线罩
radon	radon n.氡
raffia	raffia n.酒榔;其叶的纤维
raffish	raffish a.名誉不好的;无赖的;卑鄙的;艳俗的
raffle	raffle n.抽彩售货;废物 vt.抽彩售货 vi.抽彩
raffle off	raffle off v.抽彩出售
raft	raft n.筏;救生艇;大量 vi.乘筏 vt.筏运;制成筏
rafter	rafter n.椽;椽架屋顶;筏夫 vt.装椽于
raftsman	raftsman n.撑筏者
rag	rag n.碎布;抹布;碎片;碎屑;少量;破旧衣服;石板瓦 vt.揶揄;戏弄;欺负 vi.喧闹
ragamuffin	ragamuffin n.衣裳褴褛的人;无赖;寒酸样子的孩子
ragbag	ragbag n.装破布袋
rage	rage n.愤怒;情绪激动;狂暴 vi.大怒;狂吹;风行
ragged	ragged a.衣衫褴褛的;参差的;不协调的;粗糙的;刺耳的
ragged edge	ragged edge n.参差不齐的边;最外边
ragger	ragger n.恶作剧者;新闻记者
ragi	ragi n.鸭脚稗
raging	raging a.愤怒的;狂暴的;猛烈的;使极痛的
raglan	raglan n.套袖大衣
ragman	ragman n.收买破烂的人
ragout	ragout n.蔬菜炖肉片
ragtag	ragtag n.社会的垃圾;下层社会;无赖
ragtime	ragtime n.拉格泰姆旋律;其拍子 a.滑稽的
ragwort	ragwort n.刘寄奴属植物
rah-rah	rah-rah a.拼命喝彩的;大学的
raid	raid n.袭击;突袭;搜捕 vt.vi.奇袭;搜捕
raider	raider n.奇袭者;侵入者;特别攻击队
rail	rail n.横杆;围栏;栏杆;铁轨;扶手;秧鸡 vt.以横木围栏;铺铁轨 vi.责骂;抱怨
railcar	railcar n.气动车
railer	railer n.斥责者;骂人者
railing	railing n.扶手;栏干;抱怨
raillery	raillery n.开玩笑;逗趣
railroad	railroad n.铁路;铁路公司 vt.铺设铁路;用铁路运输 vi.在铁路工作
railroad car	railroad car n.有轨电车
railway	railway n.铁路;轨道 vi.乘火车旅行
raiment	raiment n.衣服
rain	rain n.雨;雨水;下雨;雨天 vi.下雨 vt.使大量落下;大量地给
rainbow	rainbow n.彩虹 a.五彩缤纷的
raincoat	raincoat n.雨衣
raindrop	raindrop n.雨滴;雨点
rained	rained v.下雨;vbl.下雨
rainfall	rainfall n.降雨;降雨量
raininess	raininess n.多雨
rainmaker	rainmaker n.唤雨巫师;人工雨实验者
rainspout	rainspout n.落水管
rainstorm	rainstorm n.暴风雨
rainwater	rainwater n.雨水
rainwear	rainwear n.防水衣;雨衣
rainy	rainy a.下雨的;多雨的
raise	raise n.上升;高地;增高;提出 vt.升起;举起;唤起;提高;使出现;使复活;提出;筹集;解除;饲 养
raised	raised a.凸起的;浮雕的;发酵的
raiser	raiser n.提高者;饲养者;栽培者
raises	raises n.举起;加薪;增加;v.举起;建造;扬起饲养
raisin	raisin n.葡萄干
raising	raising vbl.升起;举起;饲养
raj	raj n.主权;控制;统治
rake	rake n.耙子;钱耙;向船尾的倾斜;斜度;浪子;放荡者 vt.vi.搜索;掠过;用耙子耙;(使)倾斜
rakehell	rakehell n.浪子;放荡者
rakish	rakish a.轻快的;速度很快的;潇洒的;放荡的
rally	rally n.重振旗鼓;集合;示威运动;价格回稳 vt.vi.重整旗鼓;集合;恢复精神;团结;挖苦;嘲笑
rallyingly	rallyingly ad.嘲笑地
ram	ram n.公羊;撞锤 vi.猛击;撞 vt.猛击;填塞;灌输 n.只读内存;随机存取内存 n.随机存取存储器 n.随机存取存储器;随机访问存储器
ramark	ramark n.里标
ramble	ramble n.漫步;闲谈 vi.漫步;漫谈;漫游;蔓延 vt.闲逛于
rambler	rambler n.漫步者;漫生植物
rambling	rambling a.漫步的;流浪性的;散漫的
rambunctious	rambunctious a.粗暴的;难控制的;骚乱的
ramdrive	ramdrive n.DOS的虚拟磁盘管理程序
ramification	ramification n.分枝;分歧;树枝;支脉;支流;衍生物
ramify	ramify vt.vi.(使)分枝;(使)分叉;(使)成网状
raminit	raminit n.一种内存清除工具;作者:雷军
ramjet	ramjet n.喷射推理引擎之一种
rammer	rammer n.撞进的人;撞槌;装药棒
rammish	rammish a.象公羊的;有恶臭的;臭气强烈的
ramp	ramp n.斜坡;坡道;敲诈 vi.狂跳乱撞;乱冲;敲诈;蔓延 vt.使有斜面;敲诈
rampage	rampage n.乱闹;乱冲;暴跳 vi.发怒;乱闹;狂暴
rampageous	rampageous a.乱闹的;粗暴的;狂暴的
rampancy	rampancy n.猖獗;蔓生;跋扈
rampant	rampant a.猖獗的;蔓生的;猛烈的;跃立的
rampart	rampart n.垒;壁垒;城墙 vt.用壁垒围绕;防卫;守卫
rampion	rampion n.匍匐风铃草
ramrod	ramrod n.推弹杆;严格执行纪律者 a.笔直的;生硬的
ramshackle	ramshackle a.象要倒的;摇晃的;晃荡的
ran	ran vbl.run的过去式
ranch	ranch n.大农场 vi.vt.经营牧场
rancher	rancher n.大农场经营者;牧场工人
rancho	rancho n.牧人;农场工人住的棚屋;牧场
rancid	rancid a.象油脂腐臭味的;腐臭的
rancour	rancour n.敌意;深仇
rancor	rancor n.敌意;深仇
rancorous	rancorous a.深恨的;怀恶意的
random	random n.随意;任意 a.任意的;随便的;胡乱的;随机的 ad.胡乱地
random access file	random access file n.随机存取文件
random access memory	random access memory n.随机存取存储器
randy	randy a.喧闹的;倔强的;大声的;好色的 n.挑剔的女人;喧闹
ranee	ranee n.王妃;王侯夫人;公主
rang	rang vbl.ring的过去式
range	range n.排;行;山脉;范围;行列;射程 vt.排列;归类于;使并列;放牧 vi.平行;延伸;漫游
ranged	ranged pp.分布
ranger	ranger n.守林人;骑警;徘徊者
ranging	ranging n.距离修正;广泛搜索
rangy	rangy a.适于走来走去的;广阔的;四肢瘠长的
ranid	ranid n.蛙科动物
rank	rank n.等级;排;横列;队伍;阶级 a.繁茂的;恶臭的;讨厌的;下流的 vt.排列;归类于;把...分等 vi.列为;列队 n.秩
ranker	ranker n.士兵;出身行伍的军官
ranking	ranking n.等级;顺序 a.上级的;干部的;超群的
rankle	rankle vi.化脓;怨恨 vt.激怒
ransack	ransack vt.到处搜索;遍寻;掠夺;洗劫
ransom	ransom n.赎金;赎身;赎回;敲诈;勒索 vt.赎;赎身;赎回;勒索赎金
ransom bill	ransom bill n.付赎保证书
rant	rant vt.vi.咆哮;激昂地说 n.咆哮;激昂的演说
rant out	rant out v.夸张地说
rap	rap n.轻敲;拍击;责骂;无价值的东西 vt.轻敲;厉声说出;叱责;抢走;使着迷 vi.敲击;发敲击声;交谈;理解
rapacious	rapacious a.强夺的;贪欲的;贪婪的
rapacity	rapacity n.抢夺;贪欲;贪婪
rape	rape n.抢夺;掠夺;强奸;葡萄渣;油菜 vt.掠夺;抢夺;强奸
raped	raped pp.强暴
rapeseed	rapeseed n.油菜籽
rapid	rapid a.迅速的;飞快的;急促的;险峻的 n.急流
rapidity	rapidity n.迅速;急速;速度
rapidly	rapidly ad.飞快地;迅速地;赶紧地
rapidly-moving	rapidly-moving adj.迅速移动的
rapids	rapids n.急湍
rapier	rapier n.轻巧而细长的剑
rapine	rapine n.抢夺;掠夺
rapine and red ruin	rapine and red ruin n.掠夺和火灾
rapist	rapist n.强奸者
rappee	rappee n.鼻烟之一种
rappel	rappel n.用绳索下口
rapport	rapport n.关系;同意;一致
rapporteur	rapporteur n.大会报告起草人
rapscallion	rapscallion n.流氓;恶棍
rapt	rapt a.全神贯注的;入迷的;出神的 vbl.rap的过去式和过去分词
raptorial	raptorial a.捕食生物的;猛禽类的
rapture	rapture n.兴高采烈;着迷;欢天喜地;狂喜 vt.使狂喜
rapturous	rapturous a.兴高采烈的;狂喜的;欢天喜地的
rar	rar n.俄国人编写的一种著名软件压缩工具
rare	rare a.稀罕的;罕有的;珍贵的;稀薄的;半熟的;非常的 ad.非常
rare earths	rare earths n.稀土族
raree-show	raree-show n.西洋景;街头演出
rarefaction	rarefaction n.变成稀薄;稀薄化;稀薄
rarefied	rarefied a.变成稀薄的;纯化的;考究的
rarefy	rarefy vt.使稀少;使稀薄;使纯化 vi.变稀少;变稀薄
rarely	rarely ad.很少地;罕有地
rareness	rareness n.稀罕;珍奇;稀薄
rarer	rarer a.稀罕的;珍贵的
rareripe	rareripe a.早熟的 n.早熟的水果
rarest	rarest a.稀罕的;珍贵的
raring	raring a.渴望的;急切的
rarity	rarity n.稀罕;罕有;珍贵;稀薄
ras	ras n.行地址选通
rascal	rascal n.流氓;无赖;坏蛋;淘气鬼
rascality	rascality n.坏事;恶行;歹徒的作为
rascally	rascally a.无赖的;恶棍的;狡猾的 ad.无赖地
rash	rash a.轻率的;匆忙的;卤莽的 n.皮疹
rasher	rasher n.咸肉的薄片
rashly	rashly ad.轻率地;无见识地
